x_key,y_key,image
0.12555556,-0.40444444,image1
0.12666667,-0.01555556,image2
-0.52444444,0.41333333,image3
-0.10555556,-0.01333333,image4
-0.52666667,-0.00888889,image5
-0.31777778,-0.00555556,image6
-0.52777778,-0.22444444,image7
-0.32555556,-0.40444444,image8
-0.09444444,-0.40777778,image9
-0.09666667,0.41888889,image10
0.12777778,0.20555556,image11
0.12333333,0.41111111,image12
-0.52555556,-0.40111111,image13
0.12444444,-0.21555556,image14
-0.33888889,0.42444444,image15
-0.53111111,0.19111111,image16
